firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"jackson","thomas","stephens",1989,"investment banking","united states naval academy",,,0,1,1,0
"robert","harris","lurie",1989," non-financial","northwestern university",,,0,0,3,0
"miller","","nichols",1989,"non-financial","university of kansas",,,0,0,1,0
"margaret","hunt","hill",1989," non-financial","mary baldwin college",,,0,0,1,0
"edgar","miles","bronfman",1989,"non-financial","mcgill university",,,0,0,1,0
"laurence","a","tisch",1989," non-financial","new york university",193900,,0,0,3,0
"orville","wayne","rollins",1989," non-financial","high school",,,0,0,1,0
"jon","meade","huntsman",1989,"non-financial","stanford university",215062,,0,0,3,0
"mark","les","goodson",1989,"non-financial","university of california berkeley",,,0,0,2,0
"joseph","dahr","jamail",1989,"non-financial","university of texas austin",,,0,0,2,0
"william","russell","kelly",1989,"non-financial","university of pennsylvania",,,0,0,3,0
"edward","john","debartolo",1989," non-financial","university of notre dame",,,0,0,3,0
"alice","o’neill","avery",1989," non-financial","immaculate heart college",,,0,0,1,0
"nan","tucker","mcevoy",1989,"non-financial","",,,0,0,4,0
"forrest","edward","mars",1989," non-financial","yale university",,,0,0,3,0
"estee","","lauder",1989,"non-financial","high school",,,0,0,1,0
"william","","wrigley",1989," non-financial","duke university",147767,,0,0,3,0
"caroline","marie","getty",1989,"non-financial","",,,0,0,4,0
"jesse","mack","robinson",1989,"commerical banking","high school",139658,,0,1,1,0
"howard","brighton","keck",1989," non-financial","",,,0,0,4,0
"marshall","field","v",1989,"non-financial","",,,0,0,4,0
"thomas","stephen","monaghan",1989,"non-financial","",,,0,0,4,0
"malcolm","stevenson","forbes",1989," non-financial","princeton university",186131,,0,0,3,0
"stanley","irving","stahl",1989,"non-financial","new york university",,,0,0,3,0
"harold","clark","simmons",1989,"private equity","university of texas austin",,,0,0,2,1
"bruce","","kovner",2003,"hedge funds","harvard university",,,0,0,3,1
"h","wayne","huizenga",2003,"other financial","",,,0,1,4,0
"john","","arrillaga",2003," non-financial","stanford university",,,0,0,3,0
